lat,long,data,visualization,society,date_with_hour,date,hour
19.0759837,72.8776559,3.666666667,3.333333333,2.666666667,2/20/2019 12,2/20/2019,12
43.653226,-79.3831843,3.333333333,3,3.333333333,2/20/2019 12,2/20/2019,12
39.7392358,-104.990251,3,1.666666667,1.666666667,2/20/2019 12,2/20/2019,12
60.1698557,24.9383791,2,3.666666667,2.333333333,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,2.333333333,4,2.666666667,2/20/2019 12,2/20/2019,12
-30.0346471,-51.2176584,4,2,3.333333333,2/20/2019 12,2/20/2019,12
41.8781136,-87.6297982,4,2.666666667,3,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,3,4,4,2/20/2019 12,2/20/2019,12
51.5073509,-0.1277583,0.6666666667,1.666666667,2.666666667,2/20/2019 12,2/20/2019,12
12.9715987,77.5945627,3,3.666666667,1.666666667,2/20/2019 12,2/20/2019,12
39.9525839,-75.1652215,3.333333333,2.666666667,1.666666667,2/20/2019 12,2/20/2019,12
51.5073509,-0.1277583,4.333333333,4.666666667,3.333333333,2/20/2019 12,2/20/2019,12
-43.5320544,172.6362254,2.333333333,3.333333333,1.666666667,2/20/2019 12,2/20/2019,12
37.8043637,-122.2711137,3.666666667,2.666666667,1.333333333,2/20/2019 12,2/20/2019,12
43.3616211,-80.3144276,4,3.333333333,2.666666667,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,3.333333333,3,2.666666667,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,4,2,1.333333333,2/20/2019 12,2/20/2019,12
12.9715987,77.5945627,2.333333333,3,1,2/20/2019 12,2/20/2019,12
37.7992181,-122.3991389,3.666666667,3.666666667,1.666666667,2/20/2019 12,2/20/2019,12
39.9525839,-75.1652215,4,3.666666667,4.666666667,2/20/2019 12,2/20/2019,12
12.9715987,77.5945627,3.333333333,4,3.666666667,2/20/2019 12,2/20/2019,12
34.0522342,-118.2436849,2.666666667,2.666666667,1.666666667,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,2.666666667,1,0.3333333333,2/20/2019 12,2/20/2019,12
34.0522342,-118.2436849,3.666666667,2.666666667,2.333333333,2/20/2019 12,2/20/2019,12
42.2411499,-83.6129939,4,2.333333333,2,2/20/2019 12,2/20/2019,12
51.5073509,-0.1277583,3,2.666666667,1.666666667,2/20/2019 12,2/20/2019,12
47.6062095,-122.3320708,3,4,2.666666667,2/20/2019 12,2/20/2019,12
41.6763545,-86.2519898,1,1.666666667,0.3333333333,2/20/2019 12,2/20/2019,12
41.7151377,44.827096,4,3,3.333333333,2/20/2019 12,2/20/2019,12
23.810332,90.4125181,0,0,1.666666667,2/20/2019 12,2/20/2019,12
58.3019444,-134.4197221,2,3.333333333,1.333333333,2/20/2019 12,2/20/2019,12
42.7762015,-71.0772796,2,2.666666667,1,2/20/2019 12,2/20/2019,12
12.9715987,77.5945627,2.333333333,4,1.666666667,2/20/2019 12,2/20/2019,12
40.4141174,-111.7585414,3,5,4,2/20/2019 12,2/20/2019,12
34.0211224,-118.3964665,4,2.666666667,1.666666667,2/20/2019 12,2/20/2019,12
40.7127753,-74.0059728,3.333333333,4,4.333333333,2/20/2019 12,2/20/2019,12
38.9071923,-77.0368707,2.333333333,3,3.333333333,2/20/2019 12,2/20/2019,12
26.7056206,-80.0364297,5,5,5,2/20/2019 12,2/20/2019,12
40.0149856,-105.2705456,3.666666667,4.333333333,3,2/20/2019 12,2/20/2019,12
37.4418834,-122.1430195,2,2.333333333,0.6666666667,2/20/2019 12,2/20/2019,12
12.9715987,77.5945627,2.333333333,2.333333333,2.333333333,2/20/2019 12,2/20/2019,12
42.3600825,-71.0588801,4,3,2.333333333,2/20/2019 12,2/20/2019,12
33.0198431,-96.6988856,3.666666667,3,3.333333333,2/20/2019 12,2/20/2019,12
47.811473,0.961896,4,4,3,2/20/2019 12,2/20/2019,12
36.1023715,-115.1745559,4.333333333,4.333333333,4.333333333,2/20/2019 12,2/20/2019,12
42.3600825,-71.0588801,3.666666667,4.333333333,4.333333333,2/20/2019 12,2/20/2019,12
52.205337,0.121817,3,3,3.666666667,2/20/2019 12,2/20/2019,12
40.6781784,-73.9441579,1,3.333333333,1.666666667,2/20/2019 13,2/20/2019,13
37.7749295,-122.4194155,4,4,4,2/20/2019 13,2/20/2019,13
37.8043637,-122.2711137,3.333333333,3.666666667,2,2/20/2019 13,2/20/2019,13
37.4315734,-78.6568942,3,4,1.666666667,2/20/2019 13,2/20/2019,13
41.8239891,-71.4128343,3.666666667,3,3,2/20/2019 13,2/20/2019,13
,,2.333333333,2.333333333,0.6666666667,2/20/2019 13,2/20/2019,13
37.5071591,-122.2605222,2.666666667,3.666666667,3.666666667,2/20/2019 13,2/20/2019,13
51.5073509,-0.1277583,3.333333333,3.666666667,2,2/20/2019 13,2/20/2019,13
21.0190145,-101.2573586,1.666666667,2,1.333333333,2/20/2019 13,2/20/2019,13
41.308274,-72.9278835,2.333333333,4,3.666666667,2/20/2019 13,2/20/2019,13
40.2338438,-111.6585337,4,4.666666667,4,2/20/2019 13,2/20/2019,13
38.984652,-77.0947092,3.333333333,4.333333333,4,2/20/2019 13,2/20/2019,13
40.2338438,-111.6585337,2.333333333,3.666666667,3.666666667,2/20/2019 13,2/20/2019,13
,,3.666666667,3.666666667,3.333333333,2/20/2019 13,2/20/2019,13
48.00611,0.199556,4.666666667,4.666666667,3.333333333,2/20/2019 13,2/20/2019,13
39.3292396,-82.1012554,4,4,4,2/20/2019 13,2/20/2019,13
52.5200066,13.404954,4,1.666666667,1.666666667,2/20/2019 13,2/20/2019,13
43.1565779,-77.6088465,3,4.333333333,3.333333333,2/20/2019 13,2/20/2019,13
40.6781784,-73.9441579,3.666666667,4,1,2/20/2019 13,2/20/2019,13
42.2808256,-83.7430378,2.666666667,3,2.666666667,2/20/2019 13,2/20/2019,13
52.2215372,6.8936619,1,3.666666667,2.666666667,2/20/2019 13,2/20/2019,13
41.8781136,-87.6297982,3.666666667,3.666666667,4.333333333,2/20/2019 13,2/20/2019,13
12.9715987,77.5945627,1.333333333,2,1,2/20/2019 13,2/20/2019,13
27.950575,-82.4571776,4,4,4.666666667,2/20/2019 13,2/20/2019,13
55.378051,-3.435973,2.333333333,3.333333333,2.333333333,2/20/2019 13,2/20/2019,13
41.1448219,-102.9774497,2,1.666666667,1,2/20/2019 13,2/20/2019,13
52.0907374,5.1214201,4,1.666666667,3.666666667,2/20/2019 13,2/20/2019,13
51.5073509,-0.1277583,3,3.333333333,2.333333333,2/20/2019 13,2/20/2019,13
60.1698557,24.9383791,3.333333333,3.333333333,3,2/20/2019 13,2/20/2019,13
40.7933949,-77.8600012,3,2.333333333,2.333333333,2/20/2019 13,2/20/2019,13
39.165325,-86.5263857,0.6666666667,3,1.333333333,2/20/2019 13,2/20/2019,13
52.2688736,10.5267696,3,3,3,2/20/2019 13,2/20/2019,13
38.9071923,-77.0368707,2.333333333,3,3,2/20/2019 13,2/20/2019,13
46.8771863,-96.7898034,3.666666667,3.666666667,3.333333333,2/20/2019 13,2/20/2019,13
