date,channel,emoji,value
2019-02-27,-announcements,+1,13
2019-02-27,-announcements,heart,4
2019-02-27,-announcements,tada,2
2019-02-27,-announcements,sunglasses,1
2019-02-27,-announcements,100,2
2019-02-27,-announcements,muscle,2
2019-02-28,-announcements,+1,8
2019-02-28,-announcements,clap,8
2019-02-28,-announcements,aw_yeah,1
2019-02-28,-announcements,raised_hand_with_fingers_splayed,4
2019-02-28,-announcements,gift_heart,2
2019-02-28,-announcements,sunglasses,1
2019-03-01,-announcements,+1,65
2019-03-01,-announcements,heavy_plus_sign,9
2019-03-01,-announcements,clap,16
2019-03-01,-announcements,party-chart-with-upwards-trend,17
2019-03-01,-announcements,raised_hands,2
2019-03-01,-announcements,sweat_smile,8
2019-03-01,-announcements,party-bar-chart,7
2019-03-01,-announcements,sweat,5
2019-03-01,-announcements,rolling_on_the_floor_laughing,1
2019-03-01,-announcements,parrot,4
2019-03-01,-announcements,party-heart,1
2019-03-01,-announcements,party-chart-with-downwards-trend,1
2019-03-01,-announcements,pray,5
2019-03-01,-announcements,heart,15
2019-03-01,-announcements,tada,4
2019-03-01,-announcements,heavy_check_mark,3
2019-03-01,-announcements,microscope,3
2019-03-02,-announcements,heart,2
2019-03-02,-announcements,tada,2
2019-03-03,-announcements,+1,17
2019-03-03,-announcements,apple,3
2019-03-03,-announcements,hushed,5
2019-03-03,-announcements,heavy_check_mark,1
2019-03-03,-announcements,cricket,2
2019-03-03,-announcements,disappointed,2
2019-03-03,-announcements,party-heart,1
2019-03-04,-announcements,boom,17
2019-03-04,-announcements,guitar,7
2019-03-04,-announcements,data-viz-soc,9
2019-03-04,-announcements,parrot,12
2019-03-04,-announcements,heart,15
2019-03-04,-announcements,+1,15
2019-03-04,-announcements,laughing,3
2019-03-04,-announcements,champagne,21
2019-03-04,-announcements,star-struck,5
2019-03-04,-announcements,chart_with_upwards_trend,3
2019-03-04,-announcements,grapes,3
2019-03-04,-announcements,clap,10
2019-03-04,-announcements,100,17
2019-03-05,-announcements,raised_hands,10
2019-03-05,-announcements,+1,61
2019-03-05,-announcements,party-chart-with-upwards-trend,4
2019-03-05,-announcements,party-bar-chart,5
2019-03-05,-announcements,100,5
2019-03-05,-announcements,party-computer,1
2019-03-05,-announcements,astonished,1
2019-03-05,-announcements,male-singer,1
2019-03-05,-announcements,wave,49
2019-03-05,-announcements,clap,12
2019-03-05,-announcements,drake-like,5
2019-03-05,-announcements,peace_symbol,4
2019-03-05,-announcements,guitar,2
2019-03-05,-announcements,+1::skin-tone-2,5
2019-03-05,-announcements,r-lang,9
2019-03-05,-announcements,ok_hand,5
