breed,classification,obey,reps_lower,reps_upper
Border Collie,Brightest Dogs,0.95,1,4
Poodle,Brightest Dogs,0.95,1,4
German Shepherd,Brightest Dogs,0.95,1,4
Golden Retriever,Brightest Dogs,0.95,1,4
Doberman Pinscher,Brightest Dogs,0.95,1,4
Shetland Sheepdog,Brightest Dogs,0.95,1,4
Labrador Retriever,Brightest Dogs,0.95,1,4
Papillon,Brightest Dogs,0.95,1,4
Rottweiler,Brightest Dogs,0.95,1,4
Australian Cattle Dog,Brightest Dogs,0.95,1,4
Pembroke Welsh Corgi,Excellent Working Dogs,0.85,5,15
Miniature Schnauzer,Excellent Working Dogs,0.85,5,15
English Springer Spaniel,Excellent Working Dogs,0.85,5,15
Belgian Shepherd Dog (Tervuren),Excellent Working Dogs,0.85,5,15
Schipperke,Excellent Working Dogs,0.85,5,15
Belgian Sheepdog,Excellent Working Dogs,0.85,5,15
Collie,Excellent Working Dogs,0.85,5,15
Keeshond,Excellent Working Dogs,0.85,5,15
German Shorthaired Pointer,Excellent Working Dogs,0.85,5,15
Flat-Coated Retriever,Excellent Working Dogs,0.85,5,15
English Cocker Spaniel,Excellent Working Dogs,0.85,5,15
Standard Schnauzer,Excellent Working Dogs,0.85,5,15
Brittany,Excellent Working Dogs,0.85,5,15
Cocker Spaniel,Excellent Working Dogs,0.85,5,15
Weimaraner,Excellent Working Dogs,0.85,5,15
Belgian Malinois,Excellent Working Dogs,0.85,5,15
Bernese Mountain Dog,Excellent Working Dogs,0.85,5,15
Pomeranian,Excellent Working Dogs,0.85,5,15
Irish Water Spaniel,Excellent Working Dogs,0.85,5,15
Vizsla,Excellent Working Dogs,0.85,5,15
Cardigan Welsh Corgi,Excellent Working Dogs,0.85,5,15
Chesapeake Bay Retriever,Above Average Working Dogs,0.7,16,25
Puli,Above Average Working Dogs,0.7,16,25
Yorkshire Terrier,Above Average Working Dogs,0.7,16,25
Giant Schnauzer,Above Average Working Dogs,0.7,16,25
Portuguese Water Dog,Above Average Working Dogs,0.7,16,25
Airedale Terrier,Above Average Working Dogs,0.7,16,25
Bouvier des Flandres,Above Average Working Dogs,0.7,16,25
Border Terrier,Above Average Working Dogs,0.7,16,25
Briard,Above Average Working Dogs,0.7,16,25
Welsh Springer Spaniel,Above Average Working Dogs,0.7,16,25
Manchester Terrier,Above Average Working Dogs,0.7,16,25
Samoyed,Above Average Working Dogs,0.7,16,25
Field Spaniel,Above Average Working Dogs,0.7,16,25
Newfoundland,Above Average Working Dogs,0.7,16,25
Australian Terrier,Above Average Working Dogs,0.7,16,25
American Staffordshire Terrier,Above Average Working Dogs,0.7,16,25
Gordon Setter,Above Average Working Dogs,0.7,16,25
Bearded Collie,Above Average Working Dogs,0.7,16,25
Cairn Terrier,Above Average Working Dogs,0.7,16,25
Kerry Blue Terrier,Above Average Working Dogs,0.7,16,25
Irish Setter,Above Average Working Dogs,0.7,16,25
Norwegian Elkhound,Above Average Working Dogs,0.7,16,25
Affenpinscher,Above Average Working Dogs,0.7,16,25
Australian Silky Terrier,Above Average Working Dogs,0.7,16,25
Miniature Pinscher,Above Average Working Dogs,0.7,16,25
English Setter,Above Average Working Dogs,0.7,16,25
Pharaoh Hound,Above Average Working Dogs,0.7,16,25
Clumber Spaniel,Above Average Working Dogs,0.7,16,25
Norwich Terrier,Above Average Working Dogs,0.7,16,25
Dalmatian,Above Average Working Dogs,0.7,16,25
