Index,Unified Technology Name,dist1995,dist1996,dist1997,dist1998,dist1999,dist2000,dist2001,dist2002,dist2003,dist2004,dist2005,dist2006,dist2007,dist2008,dist2009,dist2010,dist2011,dist2012,dist2013,dist2014,dist2015,dist2016,dist2017,dist2018,dist2019,time1995,time1996,time1997,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017,time2018,time2019,name1995,name1996,name1997,name1998,name1999,name2000,name2001,name2002,name2003,name2004,name2005,name2006,name2007,name2008,name2009,name2010,name2011,name2012,name2013,name2014,name2015,name2016,name2017,name2018,name2019,Technology Category
0,Knowledge-based Systems,0.9745,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Knowledge-based Systems,,,,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence
1,Speech Recognition (Cloud),0.82395,0.76775,0.68535,0.7495,0.7116,0.715,0.74,0.77,0.84,0.96,0.96,0.9375,0.915,0.8925,0.87,0.9,0.885,0.905,0.92,0.94,,,,,,UNDF,UNDF,UNDF,UNDF,5T10,2T5,INTP,2T5,2T5,LT2,LT2,INTP,INTP,INTP,5T10,2T5,2T5,2T5,2T5,LT2,,,,,,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,,Speech Recognition in call centers,Speech Recognition for Telephony and the Call Center,Speech Recognition for Telephony and the Call Center,Speech Recognition for Telephony and the Call Center,,,,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,Speech Recognition,,,,,,Human-Computer Interface
2,Object-oriented Programming,0.741,0.8614,0.926,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,Object-oriented Programming,Object-oriented Programming,Object-oriented Programming,,,,,,,,,,,,,,,,,,,,,,,Methodology
3,Handwriting Recognition,0.65,0.68535,0.688644444,0.691938889,0.695233333,0.698527778,0.701822222,0.705116667,0.708411111,0.711705556,0.715,,,,,,,,,,,,,,,UNDF,UNDF,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,2T5,,,,,,,,,,,,,,,Handwriting Recognition,Handwriting Recognition,,,,,,,,,Handwriting Recognition,,,,,,,,,,,,,,,Human-Computer Interface
4,Emergent Computation,0.05615,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Emergent Computation,,,,,,,,,,,,,,,,,,,,,,,,,Software Architecture
5,Video Conferencing,0.55,0.5635,0.577,0.5905,0.604,0.6175,0.631,0.6445,0.658,0.6715,0.685,,,,,,,,,,,,,,,UNDF,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,2T5,,,,,,,,,,,,,,,Video Conferencing,,,,,,,,,,Video Conferencing,,,,,,,,,,,,,,,Communications
6,Virtual Reality,0.496,0.4794,0.594225,0.597085938,0.599946875,0.602807813,0.60566875,0.608529688,0.611390625,0.614251563,0.6171125,0.619973438,0.622834375,0.625695313,0.62855625,0.631417188,0.634278125,0.637139063,0.64,0.675,0.7,0.73,0.745,,,UNDF,UNDF,UNDF,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,5T10,5T10,5T10,5T10,2T5,,,Virtual Reality,Virtual Reality,Virtual Reality,,,,,,,,,,,,,,,,Virtual Reality,Virtual Reality,Virtual Reality,Virtual Reality,Virtual Reality,,,Human-Computer Interface
7,Information Superhighway,0.41945,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Information Superhighway,,,,,,,,,,,,,,,,,,,,,,,,,Networking Technology
8,Intelligent Agents,0.32955,0.4382,0.5131,0.4831,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,Intelligent Agents,Agents,Agents,Agents,,,,,,,,,,,,,,,,,,,,,,Human-Computer Interface
9,Wireless Communications,0.161,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Wireless Communications,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Technology
10,Imaging,,0.96625,0.99625,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Imaging,Imaging,,,,,,,,,,,,,,,,,,,,,,,Methodology
11,Workflow,,0.9513,0.9513,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Workflow,Workflow,,,,,,,,,,,,,,,,,,,,,,,Methodology
12,Grid Computing/Public MPP Clusters,,0.911,0.82,0.729,0.638,0.547,0.456,0.365,0.31,0.3,0.48,0.475,,,,,,,,,,,,,,,UNDF,INTP,INTP,INTP,INTP,INTP,5T10,5T10,2T5,2T5,2T5,,,,,,,,,,,,,,,Massively Parallel Processing,,,,,,Grid computing,Commercial Grids,External MPP Grids,Grid Computing,Grid Computing,,,,,,,,,,,,,,Computer Architecture
13,Database Mining,,0.8127,0.7495,0.8515,0.8352,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,2T5,,,,,,,,,,,,,,,,,,,,,,Database Mining,Database Mining,Data Mining,Data Mining,,,,,,,,,,,,,,,,,,,,,Information Technology
14,Desktop Videoconferencing,,0.7228,0.66665,0.7116,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,Desktop Videoconferencing,Desktop Videoconferencing,Desktop Videoconferencing,,,,,,,,,,,,,,,,,,,,,,Communications
15,Desktop Computer-Telephony Integration,,0.644,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Desktop Computer-Telephony Integration,,,,,,,,,,,,,,,,,,,,,,,,Communications
16,Smartphones/PDA Phones,,0.6295,0.63295,0.7925,0.9213,0.61315,0.305,0.475,0.5,0.56,0.675,0.78,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,LT2,INTP,2T5,2T5,LT2,LT2,INTP,LT2,,,,,,,,,,,,,,,Personal Digital Assistants,PDAs,Personal Digital Assistants,PDAs,,PDA Phones,Personal digital assistant phones,Smartphones,Smartphones,,Smartphones,,,,,,,,,,,,,,Mobile Technology
17,Interactive TV,,0.56175,0.5555,0.26965,0.315095833,0.360541667,0.4059875,0.451433333,0.496879167,0.542325,0.587770833,0.633216667,0.6786625,0.724108333,0.769554167,0.815,,,,,,,,,,,UNDF,UNDF,UNDF,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,2T5,,,,,,,,,,,Interactive TV,Interactive/Web TV,Interactive/Internet TV,,,,,,,,,,,,Interactive TV,,,,,,,,,,Platforms
18,World Wide Web,,0.382,0.83895,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,World Wide Web,World Wide Web + Intranets,,,,,,,,,,,,,,,,,,,,,,,Web Technology
19,Internet Terminals,,0.3483,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Internet Terminals,,,,,,,,,,,,,,,,,,,,,,,,Networking Technology
20,Java,,0.3185,0.79775,0.89325,0.98875,0.995,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,INTP,LT2,LT2,,,,,,,,,,,,,,,,,,,,,Java,Java - the Language,,Java Language,Java Language,,,,,,,,,,,,,,,,,,,,Platforms
21,Intranets,,0.28835,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Intranets,,,,,,,,,,,,,,,,,,,,,,,,Networking Technology
22,Smartcards,,0.2584,0.382,0.56575,0.7495,0.8,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,INTP,2T5,2T5,,,,,,,,,,,,,,,,,,,,,Smart Cards,Smart Cards,,Smart Cards,Smart Cards,,,,,,,,,,,,,,,,,,,,Cyber Security
23,DVD,,0.1985,0.316475,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Digital Video Disk,DVD,,,,,,,,,,,,,,,,,,,,,,,Platforms
24,Cable Modems,,0.1465,0.4419,0.674,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,Cable Modems,Cable Modems,Cable Modems,,,,,,,,,,,,,,,,,,,,,,Networking Technology
25,Application Sharing,,,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Application Sharing,,,,,,,,,,,,,,,,,,,,,,,Software Architecture
26,Network Computers,,,0.4794,0.56925,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Network Computers,Network Computers,,,,,,,,,,,,,,,,,,,,,,Networking Technology
27,Java - the Platform,,,0.41195,0.5468,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Java Platform,Java - the Platform,,,,,,,,,,,,,,,,,,,,,,Platforms
28,Netcasting/Push Technology,,,0.34445,0.6295,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,Netcasting/Push Technology,Push,,,,,,,,,,,,,,,,,,,,,,Web Technology
29,Micro/E-Payments,,,0.2885,0.4494,0.496,0.675,0.67,0.68,0.665,0.65,0.635,0.665,0.685,0.72,0.75,0.77,,,,,,,,,,,,UNDF,UNDF,5T10,5T10,2T5,2T5,INTP,INTP,5T10,INTP,INTP,INTP,INTP,2T5,,,,,,,,,,,,E-Cash,E-Cash,E-Cash,Micropayments,E-Payments,E-payments,,,Internet Micropayments,,,,,Internet Micropayment Systems,,,,,,,,,,Financial Technology
30,VRML/Avatars,,,0.23595,0.5243,,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,,,,,,,,,,,,,,,,,,,,,,,,VRML/Avatars,VRML/Avatars,,,,,,,,,,,,,,,,,,,,,,Human-Computer Interface
31,Biometric Authentication,,,0.19475,0.2172,0.27715,0.285,0.315,0.325,0.3733333333,0.425,0.46,0.56,0.6,0.63,0.69,0.73,0.74,0.79,0.8,,,,,,,,,UNDF,UNDF,2T5,2T5,INTP,5T10,INTP,INTP,GT10,5T10,INTP,INTP,INTP,2T5,2T5,2T5,2T5,,,,,,,,,Biometrics,Biometrics,Biometrics,Biometrics,,Biometrics,,,Biometric User Identification,Biometric Payments,,,,Biometric Authentication Methods,Biometric Authentication Methods,Biometric Authentication Methods,Biometric Authentication Methods,,,,,,,Cyber Security
32,Wearable Computers,,,0.11985,0.161,0.21345,,,,,,,,,,,,,,,,,,,,,,,UNDF,UNDF,5T10,,,,,,,,,,,,,,,,,,,,,,,Wearable Computers,Wearable Computers,Wearable Computers,,,,,,,,,,,,,,,,,,,,,Human-Computer Interface
33,Intranet Publishing,,,,0.9555,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Intranet Publishing,,,,,,,,,,,,,,,,,,,,,,Web Technology
34,Streaming Media over Web,,,,0.40445,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Streaming Media over Web,,,,,,,,,,,,,,,,,,,,,,Platforms
35,Voice over IP,,,,0.42695,0.4644,0.695,0.69,0.73,0.71,0.8,0.875,0.985,,,,,,,,,,,,,,,,,UNDF,2T5,LT2,2T5,2T5,LT2,LT2,LT2,LT2,,,,,,,,,,,,,,,,,IP Telephony,Voice over IP,Voice over IP,Voice Over IP,Voice over IP,Voice Over IP Services,VoIP,VoIP,VoIP,,,,,,,,,,,,,,Communications
36,Extranets,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,UNDF,,,,,,,,,,,,,,,,,,,,,,,,,Extranets,,,,,,,,,,,,,,,,,,,,,,Networking Technology
37,Knowledge Management,,,,0.35955,0.397,,,,,,,,,,,,,,,,,,,,,,,,UNDF,2T5,,,,,,,,,,,,,,,,,,,,,,,,Knowledge Management,Knowledge Management,,,,,,,,,,,,,,,,,,,,,Methodology
38,XML,,,,0.32955,0.437,0.74,,,,,,,,,,,,,,,,,,,,,,,UNDF,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,,XML,XML,XML,,,,,,,,,,,,,,,,,,,,Web Technology
