States and territories,Total foreign born,Africa,"Asia (except China, Japan, and India)",Atlantic Islands,Australia,Austria,Belgium,Bohemia,Canada (English) (includes Newfoundland),Canada (French) (includes Newfoundland),Central America,China,Cuba,Denmark,England,Europe (not otherwise specified),Finland,France,Germany,Greece,Holland,Hungary,India,Ireland,Italy,Japan,Luxemburg,Mexico,Norway,Pacific Islands (except Phillipine Islands),Poland (Austrian),Poland (German),Poland (Russian),Poland (unknown),Portugal,Romania,Russia,United Kingdom,South America,Spain,Sweden,Switzerland,Turkey,Wales,West Indies (except Cuba and Puerto Rico),Other Countries,Born at Sea
The United States,10460085,2577,11928,10955,7041,276702,29848,156999,787798,395427,3911,106659,11159,154616,843491,2272,63440,104534,2669164,8655,105098,145815,2069,1619409,484703,81590,3049,103445,338426,2659,58503,150232,154424,20436,37144,15043,424372,234699,4814,7284,574625,115959,9949,93744,14468,2587,8310
Alabama,14592,77,52,1,16,341,45,31,617,80,23,54,55,96,2347,33,28,539,3634,129,42,332,7,1792,862,6,6,43,159,6,18,8,96,11,8,16,468,1223,51,59,488,200,66,306,79,7,26
Alaska,12661,3,15,15,60,228,26,8,1501,118,8,3091,2,260,674,9,601,98,1020,36,30,8,4,677,488,279,1,11,1248,17,0,0,0,18,14,0,218,295,20,10,1445,80,12,41,9,19,14
Arizona,24233,14,15,4,58,298,33,16,1116,153,25,1298,4,199,1561,3,82,258,1245,10,23,22,8,1159,699,284,3,14172,123,87,4,2,12,4,18,1,107,399,24,51,342,199,29,136,13,1,26
Arkansas,14289,14,34,1,16,451,14,281,932,101,14,50,9,185,1894,21,3,387,5971,6,69,97,8,1845,576,0,6,68,51,8,119,108,64,29,0,3,276,342,15,7,355,679,1,113,13,11,34
California,367240,168,235,3515,2269,5356,785,504,27408,2410,481,40262,93,9040,35746,59,2768,12256,72449,372,1015,799,263,44476,22777,10264,42,8086,5060,794,72,187,832,229,12068,73,3421,9467,1137,896,14549,10974,619,1949,372,260,358
Colorado,91455,24,106,9,126,6024,170,330,8837,960,156,581,26,2050,13575,9,844,1162,14006,37,260,574,44,10182,6818,51,9,274,1149,36,27,60,465,68,28,35,2938,4069,53,41,10765,1479,33,1955,45,31,84
Connecticut,238210,29,286,87,94,5330,209,493,7871,19174,383,569,79,2249,21569,14,442,2427,31892,121,153,5692,34,70994,19105,25,1,22,709,11,2085,356,7769,518,568,247,11401,6175,46,104,16164,1499,226,650,188,56,121
Delaware,18810,7,11,1,18,117,9,4,257,41,4,51,9,48,1506,51,23,148,2332,12,69,86,1,5044,1122,1,74,2,49,1,106,439,968,14,2,11,380,341,10,4,302,59,2,43,24,4,13
District of Colombia,20119,26,29,6,19,187,32,12,809,97,32,417,43,88,2299,7,14,389,5857,34,42,48,12,6220,930,11,0,38,101,2,2,11,106,18,6,2,807,574,49,31,234,244,39,82,91,6,21
