"HoursActual","HoursEstimate"
1.75,14
7,7
0.7,0.7
0.7,0.7
3.5,3.5
7,7
7,7
7,7
1.4,1.4
1.75,1.75
1.75,14
14,14
17.5,14
7,14
7,7
0.35,1.75
70,70
3.5,7
0.7,1.75
1.4,1.75
7,7
7,7
1.75,1.75
0.7,3.5
1.75,1.75
7,14
12.25,10.5
0.7,0.7
105,28
14,14
0.7,0.7
28,14
1.75,3.5
7,7
3.5,1.75
2.1,2.1
1.4,1.4
7,7
7,7
28,28
7,7
3.5,3.5
2.1,2.1
7,7
1.75,1.75
7,7
1.75,7
7,7
1.75,7
3.5,7
7,7
7,7
5.25,14
1.05,7
0.7,7
1.75,7
0.7,0.7
0.7,3.5
7,7
1.75,1.75
21,7
21,7
1.4,3.5
1.75,7
7,7
0.7,1.4
7,7
2.8,7
14,14
70,70
14,35
3.5,14
7,14
14,14
7,7
14,14
42,35
21,35
7,3.5
1.75,7
3.5,14
1.75,1.75
1.75,1.75
7,7
0.7,1.75
0.7,0.7
7,10.5
1.75,3.5
5.25,1.75
0.7,0.7
10.5,14
3.5,1.75
42,7
0.7,1.75
5.25,1.75
7,7
7,7
3.5,3.5
0.7,1.75
7,14
5.25,14
7,21
3.5,7
3.5,7
0.7,0.7
7,7
3.5,21
7,7
7,14
3.5,3.5
7,14
1.75,7
7,7
1.75,3.5
3.5,7
10.5,14
21,14
14,14
2.8,3.5
7,14
3.5,7
1.4,7
0.7,0.7
1.75,1.75
7,7
0.25,0.7
1.75,7
1.75,3.5
1.75,3.5
1.75,3.5
1.75,3.5
1.75,1.75
1.75,3.5
1.75,3.5
1.75,1.75
0.7,3.5
0.7,0.7
1.75,7
7,7
7,7
7,7
3.5,1.75
3.5,3.5
0.5,0.7
28,21
2.1,2.1
1.4,1.4
0.7,0.7
28,7
0.7,1.75
0.7,0.7
0.7,0.7
1.4,1.4
1.75,7
1.75,3.5
0.7,3.5
1.75,7
7,7
3.5,7
1.75,7
0.7,0.7
0.7,0.7
28,35
0.7,3.5
7,7
7,7
0.7,1.75
35,35
7,7
7,7
7,7
0.7,1.75
2,14
0.1,1.75
5.25,1.75
1.75,3.5
5.25,3.5
6,21
7,21
7,7
7,7
0.7,3.5
1.75,1.75
0.7,1.75
0.7,1.75
0.35,0.35
0.7,0.7
7,7
7,7
3.5,7
7,14
0.7,1.75
3.5,3.5
1.75,1.75
1.75,3.5
7,7
7.75,7
7.75,7
3.5,7
1.75,1.75
3.5,7
0.7,0.7
3.5,1.75
0.7,0.7
0.7,0.7
1.4,7
14,14
7,7
3.5,1.75
1.4,1.75
14,35
7,7
0.7,3.5
0.7,3.5
0.7,3.5
0.7,1.75
3.5,7
1.75,3.5
1.75,3.5
0.7,1.75
0.7,0.7
0.7,7
0.7,1.75
7,7
7,7
7,7
7,7
1.4,7
3.5,3.5
4,7
0.7,7
14,14
21,14
0.35,0.35
3.5,0.7
1.75,7
7,7
0.7,3.5
0.7,3.5
0.7,3.5
1.75,7
3.5,7
3.5,3.5
0.35,0.35
0.7,0.7
7,7
1.4,7
7,7
0.5,7
0.7,0.7
10.5,10.5
0.7,0.7
7,7
7,7
1.4,2.1
1.75,1.75
7,10.5
3.5,3.5
3.5,7
2.1,2.1
2.1,2.1
2.1,2.1
7,7
7,7
0.7,7
1.4,7
42,28
1.4,1.75
7,7
7,7
0.7,7
3.5,7
1.75,7
3.5,3.5
0.7,7
3.5,7
9,7
21,7
3.5,1.4
3.5,3.5
7,7
7,7
7,7
1.4,3.5
1.4,1.4
1.5,35
1,1.4
0.14,0.14
5.6,7
0.7,1.4
1.4,3.5
0.7,7
1.4,1.4
4.9,3.5
3.5,3.5
3.5,3.5
0.7,1.4
1.4,1.4
0.7,0.7
3.5,3.5
0.7,0.7
3.5,3.5
3.5,7
1.75,3.5
1.75,3.5
1.75,7
4.2,7
1,7
1.05,2.1
98,7
3.5,3.5
0.7,0.7
5.25,7
3.5,7
7,14
0.7,0.7
17.5,14
0.7,1.75
0.7,7
3.5,7
7,7
2.1,2.1
0.7,3.5
0.7,3.5
4.9,7
0.7,3.5
3.5,3.5
7,7
4.2,7
1.4,3.5
1.75,1.75
0.7,3.5
3.5,7
5.25,7
0.7,7
1.75,1.75
0.7,7
10.5,3.5
10.5,3.5
0.7,0.7
2.8,3.5
3.5,3.5
49,35
0.7,7
3.5,3.5
1.4,1.4
0.7,1.4
20.5,7
20.5,7
1.4,7
3.5,7
1.51,7
1.51,7
7,7
14,14
1.75,7
1.75,14
1.4,14
1.4,14
1.75,1.75
21,21
0.7,21
7,10.5
1.75,1.75
14,14
0.7,1.75
1.4,1.4
4.2,7
1.4,7
7,14
7,7
19.25,35
1.75,1.75
0.7,0.7
1.75,10.5
14.7,7
3.5,3.5
5.25,14
0.14,7
0.14,7
0.7,0.7
3.5,7
8.75,3.5
5.25,7
0.7,1.75
0.35,0.7
7,1.75
7,1.75
2.1,3.5
5.25,14
9.1,3.5
0.7,3.5
7,7
3.5,7
5.25,7
3.5,3.5
1.4,1.4
0.7,1.75
4.9,3.5
3.5,3.5
1.4,1.75
2.8,7
0.7,3.5
8.75,10.5
10.5,10.5
5.25,7
5.25,7
0.7,7
4.9,3.5
0.7,7
0.7,7
2.1,3.5
1.75,1.75
0.7,0.7
5.95,10.5
23,14
5,7
19,7
7.5,14
7,7
7,7
1.75,7
7.5,7
11.9,7
11.9,7
0.35,7
12.25,14
12.25,14
3.5,7
0.7,7
0.7,3.5
2.1,7
3.5,1.75
1.4,3.5
14,7
10.5,7
5.25,7
1.4,7
10.5,7
4.2,3.5
4.2,3.5
3.5,7
1.4,1.4
7,7
1.4,1.4
8.7,7
8.7,7
1.75,1.4
3.5,3.5
10.5,7
3.5,3.5
3.5,3.5
4.2,7
7,3.5
7,3.5
0.7,3.5
1.75,14
3.5,7
7,3.5
7,3.5
0.7,0.7
7,3.5
7,3.5
4,7
2,7
1.5,1.4
1.5,1.4
14,14
14,14
2,7
0.5,0.2
6,7
7,25
4,4
2.5,2.5
0.33,0.33
0.32,0.32
0.1,0.1
0.1,0.1
0.1,0.1
